
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
-62.6127  7.56303  300 
-64.0618  10.5882  300 
-65.042  12.668  300 
-65.5126  13.6134  300 
-66.998  16.6387  300 
-68.0672  18.803  300 
-68.4958  19.6639  300 
-69.9784  22.6891  300 
-71.0924  25.0277  300 
-71.4093  25.7143  300 
-72.7633  28.7395  300 
-74.0666  31.7647  300 
-74.1176  31.8841  300 
-75.3129  34.7899  300 


# Contour 4, label:      200
-1.51261  76.2235  200 
 1.51261  74.7041  200 
 2.62817  74.1176  200 
 4.53782  73.088  200 
 7.56303  71.3394  200 
 7.9751  71.0924  200 
 10.5882  69.4621  200 
 12.7017  68.0672  200 
 13.6134  67.438  200 
 16.6387  65.2933  200 
 16.9946  65.042  200 
 19.6639  63.0902  200 
 21.1541  62.0168  200 
 22.6891  60.9183  200 
 25.4112  58.9916  200 
 25.7143  58.7803  200 
 28.7395  56.6785  200 
 29.7423  55.9664  200 
 31.7647  54.559  200 
 34.0555  52.9412  200 
 34.7899  52.4265  200 
 37.8151  50.2921  200 
 38.3367  49.916  200 
 40.8403  48.0207  200 
 42.1853  46.8908  200 
 43.8655  45.3359  200 
 45.2619  43.8655  200 
 46.8908  41.9004  200 
 47.6916  40.8403  200 
 49.7534  37.8151  200 
 49.916  37.5685  200 
 51.7022  34.7899  200 
 52.9412  32.826  200 
 53.613  31.7647  200 
 55.5302  28.7395  200 
 55.9664  28.0571  200 
 57.4717  25.7143  200 
 58.9916  23.3205  200 
 59.3955  22.6891  200 
 61.3937  19.6639  200 
 62.0168  18.7617  200 
 63.4643  16.6387  200 
 65.042  14.3098  200 
 65.4965  13.6134  200 
 67.449  10.5882  200 
 68.0672  9.59805  200 
 69.2877  7.56303  200 
 70.9898  4.53782  200 
 71.0924  4.34728  200 
 72.5831  1.51261  200 
 74.0649 -1.51261  200 
 74.1176 -1.6234  200 
 75.4893 -4.53782  200 
 76.8549 -7.56303  200 
 77.1429 -8.20909  200 
 78.1906 -10.5882  200 
 79.4891 -13.6134  200 
 80.1681 -15.2266  200 
 80.7475 -16.6387  200 
 81.9325 -19.6639  200 
 83.023 -22.6891  200 
 83.1933 -23.1753  200 
 84.0727 -25.7143  200 
 85.1109 -28.7395  200 
 86.1581 -31.7647  200 
 86.2185 -31.9325  200 
 87.2563 -34.7899  200 
 88.405 -37.8151  200 
 89.2437 -39.8925  200 
 89.6368 -40.8403  200 
 90.9817 -43.8655  200 
 92.2689 -46.5879  200 
 92.4206 -46.8908  200 
 93.9994 -49.916  200 
 95.2941 -52.3414  200 
