
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
 167.956 -12.7273  1.5 
 165.455 -12.3155  1.5 
 161.818 -11.1334  1.5 
 158.182 -9.32268  1.5 
 157.841 -9.09091  1.5 
 154.545 -6.19954  1.5 
 153.878 -5.45455  1.5 
 151.775 -1.81818  1.5 
 150.909  1.78094  1.5 
 150.901  1.81818  1.5 
 150.909  1.93962  1.5 
 151.169  5.45455  1.5 
 152.543  9.09091  1.5 
 154.545  12.1164  1.5 
 155.052  12.7273  1.5 
 158.182  15.4821  1.5 
 159.641  16.3636  1.5 
 161.818  17.3919  1.5 
 165.455  18.24  1.5 
 169.091  18.3904  1.5 
 172.727  17.9572  1.5 
 176.364  17.0064  1.5 
 178.014  16.3636  1.5 
 180  15.3577  1.5 


# Contour 3, label:      1.6
-56.7809 -180  1.6 
-56.3636 -177.864  1.6 
-56.0747 -176.364  1.6 
-55.2941 -172.727  1.6 
-54.4142 -169.091  1.6 
-53.3959 -165.455  1.6 
-52.7273 -163.416  1.6 
-52.2136 -161.818  1.6 
-50.866 -158.182  1.6 
-49.3536 -154.545  1.6 
-49.0909 -153.968  1.6 
-47.7445 -150.909  1.6 
-46.0293 -147.273  1.6 
-45.4545 -146.116  1.6 
-44.2431 -143.636  1.6 
-42.3994 -140  1.6 
-41.8182 -138.863  1.6 
-40.537 -136.364  1.6 
-38.6873 -132.727  1.6 
-38.1818 -131.691  1.6 
-36.8851 -129.091  1.6 
