i dih1 dih2 Mu(D) Ene(Eh) VBA(eV) DBA(eV)
264 80 140 -842.90008733 2.3903 -1.7000 0.0010
265 80 160 -842.89989101 2.9424 -1.6788 -0.0024
266 80 180 -842.90014765 3.3964 -1.6659 -0.0061
267 100 -180 -842.90070466 3.2373 -1.6824 -0.0047
268 100 -160 -842.90171890 3.5135 -1.6944 -0.0079
269 100 -140 -842.90130722 3.4776 -1.7225 -0.0088
270 100 -120 -842.90008865 3.3406 -1.7477 -0.0085
271 100 -100 -842.89777336 3.0527 -1.7381 -0.0069
272 100 -80 -842.89579193 2.8842 -1.7065 -0.0063
273 100 -60 -842.89767704 2.6598 -1.6613 -0.0049
274 100 -40 -842.89993378 2.3659 -1.5970 -0.0025
275 100 -20 -842.90135616 2.0091 -1.5556 0.0004
276 100 0 0 0 0 0
277 100 20 0 0 0 0
278 100 40 0 0 0 0
279 100 60 0 0 0 0
280 100 80 0 0 0 0
281 100 100 0 0 0 0
282 100 120 0 0 0 0
283 100 140 -842.90059082 2.1918 -1.7178 0.0020
284 100 160 -842.90037685 2.7476 -1.6955 -0.0010
285 100 180 -842.90072661 3.2554 -1.6807 -0.0049
286 120 -180 -842.90117555 2.9772 -1.6799 -0.0026
287 120 -160 -842.90230868 3.3385 -1.6880 -0.0061
288 120 -140 -842.90199660 3.3616 -1.7200 -0.0075
289 120 -120 -842.90090450 3.3103 -1.7495 -0.0080
290 120 -100 -842.89952176 3.1305 -1.7509 -0.0077
291 120 -80 -842.89865983 2.9469 -1.7262 -0.0065
292 120 -60 -842.90025474 2.8013 -1.6769 -0.0056
293 120 -40 -842.90265391 2.4991 -1.6151 -0.0032
294 120 -20 -842.90350339 2.1505 -1.5655 -0.0003
295 120 0 -842.90326935 1.7706 -1.5450 0.0024
296 120 20 0 0 0 0
297 120 40 0 0 0 0
298 120 60 0 0 0 0
299 120 80 0 0 0 0
300 120 100 0 0 0 0
301 120 120 0 0 0 0
302 120 140 0 0 0 0
303 120 160 -842.90088805 2.4287 -1.6980 0.0008
304 120 180 -842.90120621 2.9984 -1.6783 -0.0028
305 140 -180 -842.90147627 2.5469 -1.6509 0.0005
306 140 -160 -842.90266873 2.9118 -1.6618 -0.0024
307 140 -140 -842.90251949 3.0281 -1.6941 -0.0043
308 140 -120 -842.90164189 3.0649 -1.7243 -0.0057
309 140 -100 -842.90050065 3.0187 -1.7273 -0.0067
310 140 -80 -842.89968252 2.8985 -1.7061 -0.0061
311 140 -60 -842.90053808 2.7424 -1.6537 -0.0046
312 140 -40 -842.90260898 2.4746 -1.5945 -0.0026
313 140 -20 -842.90293300 2.1323 -1.5439 0.0001
314 140 0 -842.90245710 1.8052 -1.5189 0.0025
315 140 20 0 0 0 0
316 140 40 0 0 0 0
317 140 60 0 0 0 0
318 140 80 0 0 0 0
319 140 100 0 0 0 0
320 140 120 0 0 0 0
321 140 140 0 0 0 0
322 140 160 0 0 0 0
323 140 180 -842.90147596 2.5367 -1.6522 0.0005
324 160 -180 0 0 0 0
325 160 -160 -842.90246149 2.4322 -1.6304 0.0013
326 160 -140 -842.90248093 2.6201 -1.6644 -0.0007
327 160 -120 -842.90183662 2.7663 -1.6958 -0.0026
328 160 -100 -842.90083495 2.8087 -1.7003 -0.0041
329 160 -80 -842.89992862 2.7687 -1.6802 -0.0042
330 160 -60 -842.90018935 2.6341 -1.6298 -0.0029
331 160 -40 -842.90143750 2.3926 -1.5705 -0.0012
332 160 -20 -842.90110684 2.0796 -1.5186 0.0011
333 160 0 0 0 0 0
334 160 20 -842.90111480 1.6237 -1.5056 0.0039
335 160 40 0 0 0 0
336 160 60 0 0 0 0
337 160 80 0 0 0 0
338 160 100 0 0 0 0
339 160 120 0 0 0 0
340 160 140 0 0 0 0
341 160 160 0 0 0 0
342 160 180 0 0 0 0
343 180 -180 0 0 0 0
344 180 -160 0 0 0 0
345 180 -140 0 0 0 0
346 180 -120 -842.90123066 2.1616 -1.6871 0.0025
347 180 -100 -842.90028138 2.2627 -1.6895 0.0013
348 180 -80 -842.89942423 2.2730 -1.6704 0.0012
349 180 -60 -842.89933199 2.1347 -1.6234 0.0022
350 180 -40 -842.89994199 1.9263 -1.5659 0.0031
351 180 -20 -842.89913658 1.6619 -1.5147 0.0043
352 180 0 -842.89858908 1.5239 -1.4911 0.0049
353 180 20 -842.89947389 1.5487 -1.5070 0.0048
354 180 40 -842.90021730 1.6401 -1.5551 0.0043
355 180 60 -842.89972817 1.7672 -1.6127 0.0037
356 180 80 -842.89999031 1.8051 -1.6599 0.0034
357 180 100 0 0 0 0
358 180 120 0 0 0 0
359 180 140 0 0 0 0
360 180 160 0 0 0 0
361 180 180 0 0 0 0
