
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      600
 11.1123 -170.886  100 
 6.83544 -170.251  100 
 2.27848 -170.064  100 
-2.27848 -170.484  100 
-4.03362 -170.886  100 
-6.83544 -171.556  100 
-11.3924 -173.197  100 
-15.9494 -175.23  100 
-16.3975 -175.443  100 
-20.5063 -177.493  100 
-25.0633 -179.788  100 
-25.5276 -180  100 

 180  143.442  100 
 179.978  143.544  100 
 178.156  148.101  100 
 176.1  152.658  100 
 175.443  154.375  100 
 174.408  157.215  100 
 173.671  161.772  100 
 173.954  166.329  100 
 174.984  170.886  100 
 175.443  172.343  100 
 176.475  175.443  100 
 178.16  180  100 

 75.941  43.2911  100 
 79.7468  44.7962  100 
 84.3038  46.6632  100 
 86.8869  47.8481  100 
 88.8608  48.694  100 
 93.4177  50.8936  100 
 96.4795  52.4051  100 
 97.9747  53.2601  100 
 102.532  55.9546  100 
 104.188  56.962  100 
 107.089  59.5595  100 
 109.48  61.519  100 
 111.646  64.7314  100 
 112.708  66.0759  100 
 113.907  70.6329  100 
 113.253  75.1899  100 
 111.646  78.7081  100 
 111.196  79.7468  100 
 108.445  84.3038  100 
 107.089  86.3604  100 
 105.556  88.8608  100 
 102.852  93.4177  100 
 102.532  94.1139  100 
 100.878  97.9747  100 
 100.298  102.532  100 
 101.138  107.089  100 
 102.532  111.622  100 
 102.54  111.646  100 
 103.659  116.203  100 
 103.525  120.759  100 
 102.532  123.251  100 
 101.64  125.316  100 
 98.7722  129.873  100 
 97.9747  131.177  100 
 96.0429  134.43  100 
 94.5374  138.987  100 
 94.7795  143.544  100 
 96.5245  148.101  100 
 97.9747  150.797  100 
 98.996  152.658  100 
 101.043  157.215  100 
 101.409  161.772  100 
 99.6593  166.329  100 
 97.9747  168.833  100 
 96.6231  170.886  100 
 93.4177  175.012  100 
 93.1019  175.443  100 
 89.5579  180  100 

 180  131.792  100 
 179.588  129.873  100 
 178.392  125.316  100 
 177.449  120.759  100 
 177.283  116.203  100 
 177.607  111.646  100 
 178.013  107.089  100 
 178.191  102.532  100 
 177.802  97.9747  100 
 176.768  93.4177  100 
 175.443  89.315  100 
 175.285  88.8608  100 
 173.399  84.3038  100 
 171.387  79.7468  100 
 170.886  78.5708  100 
 169.337  75.1899  100 
 167.726  70.6329  100 
 167.014  66.0759  100 
 167.461  61.519  100 
 169.105  56.962  100 
 170.886  53.767  100 
 171.578  52.4051  100 
 174.164  47.8481  100 
 175.443  45.0116  100 
 176.156  43.2911  100 
 176.682  38.7342  100 
 175.582  34.1772  100 
 175.443  33.8758  100 
 173.519  29.6203  100 
 171.079  25.0633  100 
 170.886  24.7338  100 
 168.588  20.5063  100 
 166.329  15.9505  100 
 164.492  11.3924  100 
 163.167  6.83544  100 
 162.421  2.27848  100 
 162.295 -2.27848  100 
 162.759 -6.83544  100 
 163.728 -11.3924  100 
 165.127 -15.9494  100 
 166.329 -19.0595  100 
 166.916 -20.5063  100 
 168.974 -25.0633  100 
 170.886 -29.3293  100 
 171.027 -29.6203  100 
 172.725 -34.1772  100 
 173.487 -38.7342  100 
 172.622 -43.2911  100 
 170.886 -46.383  100 
 169.979 -47.8481  100 
 166.329 -51.7573  100 
 165.581 -52.4051  100 
 161.772 -55.2643  100 
 158.728 -56.962  100 
 157.215 -57.8674  100 
 152.658 -59.8322  100 
 148.101 -60.8634  100 
 143.544 -61.2408  100 
 138.987 -61.4003  100 
 135.905 -61.519  100 
 134.43 -61.5853  100 
 133.528 -61.519  100 
 129.873 -61.3172  100 
 125.316 -60.4804  100 
 120.759 -59.0172  100 
 116.364 -56.962  100 
 116.203 -56.8898  100 
 111.646 -53.7483  100 
 110.341 -52.4051  100 
 107.089 -48.7312  100 
 106.535 -47.8481  100 
 103.885 -43.2911  100 
 102.532 -40.6696  100 
 101.744 -38.7342  100 
 100.163 -34.1772  100 
 98.6737 -29.6203  100 
 97.9747 -27.4676  100 
 97.2943 -25.0633  100 
 95.9586 -20.5063  100 
 94.4978 -15.9494  100 
 93.4177 -12.9956  100 
 92.8672 -11.3924  100 
 91.1072 -6.83544  100 
 89.0493 -2.27848  100 
 88.8608 -1.86862  100 
 86.9942  2.27848  100 
 84.7516  6.83544  100 
 84.3038  7.74416  100 
 82.4728  11.3924  100 
 79.9411  15.9494  100 
 79.7468  16.3319  100 
 77.3988  20.5063  100 
 75.1899  24.5649  100 
 74.8806  25.0633  100 
 72.8209  29.6203  100 
 71.3723  34.1772  100 
 71.3708  38.7342  100 
 75.1899  42.7862  100 
 75.941  43.2911  100 

-111.646 -95.662  100 
-116.203 -94.666  100 
-120.332 -93.4177  100 
-120.759 -93.2605  100 
-125.316 -91.1868  100 
-129.873 -89.1752  100 
-130.84 -88.8608  100 
-134.43 -87.3662  100 
-138.987 -86.6104  100 
-143.544 -87.2812  100 
-147.22 -88.8608  100 
-148.101 -89.1504  100 
-152.658 -91.3976  100 
-156.172 -93.4177  100 
-157.215 -93.9351  100 
-161.772 -96.1269  100 
-166.329 -97.9552  100 
-166.383 -97.9747  100 
-170.886 -99.4714  100 
-175.443 -101.023  100 
-179.393 -102.532  100 
-180 -102.772  100 

 180 -102.77  100 
 179.677 -102.532  100 
 175.443 -99.4684  100 
 173.096 -97.9747  100 
 170.886 -96.5681  100 
 166.329 -94.2849  100 
 163.566 -93.4177  100 
 161.772 -92.8163  100 
 157.215 -92.3609  100 
 152.658 -93.0028  100 
 151.484 -93.4177  100 
 148.101 -94.4885  100 
 143.544 -96.6243  100 
 141.302 -97.9747  100 
 138.987 -99.2817  100 
 134.43 -102.331  100 
 134.16 -102.532  100 
 129.873 -105.564  100 
 127.805 -107.089  100 
 125.316 -108.873  100 
 121.436 -111.646  100 
 120.759 -112.121  100 
 116.203 -115.153  100 
 114.458 -116.203  100 
 111.646 -117.854  100 
 107.089 -120.332  100 
 106.27 -120.759  100 
 102.532 -122.891  100 
 98.245 -125.316  100 
 97.9747 -125.489  100 
 93.4177 -128.241  100 
 90.0058 -129.873  100 
 88.8608 -130.534  100 
 84.3038 -132.339  100 
 79.7468 -132.884  100 
 75.1899 -131.347  100 
 73.6512 -129.873  100 
 70.6329 -127.44  100 
 69.1345 -125.316  100 
 66.0759 -121.926  100 
 65.3179 -120.759  100 
 61.519 -116.286  100 
 61.4608 -116.203  100 
 57.1222 -111.646  100 
 56.962 -111.519  100 
 52.4051 -107.946  100 
 51.2373 -107.089  100 
 47.8481 -105.226  100 
 43.2911 -102.894  100 
 42.4712 -102.532  100 
 38.7342 -101.2  100 
 34.1772 -99.8898  100 
 29.6203 -98.7065  100 
 26.7711 -97.9747  100 
 25.0633 -97.5814  100 
 20.5063 -96.4645  100 
 15.9494 -95.1735  100 
 11.3924 -93.6258  100 
 10.8332 -93.4177  100 
 6.83544 -91.9797  100 
 2.27848 -90.141  100 
-0.759002 -88.8608  100 
-2.27848 -88.2169  100 
-6.83544 -86.319  100 
-11.338 -84.3038  100 
-11.3924 -84.2785  100 
-15.9494 -82.2434  100 
-20.5063 -80.0576  100 
-21.2911 -79.7468  100 
-25.0633 -77.9971  100 
-29.6203 -76.2438  100 
-34.1772 -75.3654  100 
-38.7342 -76.8074  100 
-40.9571 -79.7468  100 
-43.2911 -83.4366  100 
-43.6647 -84.3038  100 
-46.0525 -88.8608  100 
-47.8481 -91.8283  100 
-48.797 -93.4177  100 
-51.9168 -97.9747  100 
-52.4051 -98.626  100 
-55.8754 -102.532  100 
-56.962 -103.662  100 
-61.519 -106.925  100 
-61.943 -107.089  100 
-66.0759 -108.803  100 
-70.6329 -109.392  100 
-75.1899 -108.92  100 
-79.7468 -107.637  100 
-81.1414 -107.089  100 
-84.3038 -105.854  100 
