
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 92.7273 -176.666  6 
 93.2879 -176.364  6 
 96.3636 -174.725  6 
 100 -172.852  6 
 100.251 -172.727  6 
 103.636 -170.985  6 
 107.273 -169.144  6 
 107.373 -169.091  6 
 110.909 -167.12  6 
 113.741 -165.455  6 
 114.545 -164.937  6 
 118.182 -162.327  6 
 118.766 -161.818  6 
 121.818 -158.511  6 
 122.069 -158.182  6 
 124.241 -154.545  6 
 125.455 -152.183  6 
 126.064 -150.909  6 
 127.591 -147.273  6 
 129.009 -143.636  6 
 129.091 -143.411  6 
 130.283 -140  6 
 131.565 -136.364  6 
 132.727 -133.19  6 
 132.898 -132.727  6 
 134.232 -129.091  6 
 135.598 -125.455  6 
 136.364 -123.471  6 
 137.024 -121.818  6 
 138.674 -118.182  6 
 140 -115.705  6 
 140.671 -114.545  6 
 142.721 -110.909  6 
 143.636 -109.153  6 
 144.593 -107.273  6 
 146.16 -103.636  6 
 147.273 -100.308  6 
 147.367 -100  6 
 148 -96.3636  6 
 148.13 -92.7273  6 
 147.708 -89.0909  6 
 147.273 -87.5314  6 
 146.453 -85.4545  6 
 144.031 -81.8182  6 
 143.636 -81.369  6 
 140 -78.2413  6 
 139.919 -78.1818  6 
 136.364 -75.7225  6 
 134.446 -74.5455  6 
 132.727 -73.4935  6 
 129.091 -71.3432  6 
 128.258 -70.9091  6 
 125.455 -69.2936  6 
 121.818 -67.5839  6 
 119.518 -67.2727  6 
 118.182 -67.1193  6 
 117.531 -67.2727  6 
 114.545 -68.0479  6 
 110.909 -69.6237  6 
 108.074 -70.9091  6 
 107.273 -71.2729  6 
 103.636 -72.9041  6 
 100 -74.2224  6 
 98.8363 -74.5455  6 
 96.3636 -75.3017  6 
 92.7273 -75.8921  6 
 89.0909 -75.8191  6 
 85.4545 -75.0945  6 
 83.9231 -74.5455  6 
 81.8182 -73.89  6 
 78.1818 -71.9285  6 
 77.1366 -70.9091  6 
 74.7053 -67.2727  6 
 74.5455 -66.9605  6 
 73.4667 -63.6364  6 
 72.5443 -60  6 
 71.5684 -56.3636  6 
 70.9091 -54.5545  6 
 70.2774 -52.7273  6 
 68.5875 -49.0909  6 
 67.2727 -46.7858  6 
 66.5079 -45.4545  6 
 64.2042 -41.8182  6 
 63.6364 -40.9747  6 
 61.8233 -38.1818  6 
 60 -35.4299  6 
 59.4379 -34.5455  6 
 56.8949 -30.9091  6 
 56.3636 -30.2155  6 
 54.0431 -27.2727  6 
 52.7273 -25.7372  6 
 50.8224 -23.6364  6 
 49.0909 -21.812  6 
