
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:( ($6 != 0 ? -$6 : 1.6) )"

# Contour 0, label:      1.3
 17.2565  27.2727  1.4 
 19.0416  23.6364  1.4 
 20  21.8859  1.4 
 21.3585  20  1.4 
 23.6364  17.7136  1.4 
 25.2192  16.3636  1.4 
 27.2727  14.4621  1.4 
 29.0901  12.7273  1.4 
 30.9091  10.4035  1.4 
 31.7738  9.09091  1.4 
 33.6362  5.45455  1.4 


# Contour 2, label:      1.5
-45.4545  69.5951  1.5 
-41.8182  70.2704  1.5 
-38.1818  70.4527  1.5 
-34.5455  70.1347  1.5 
-30.9091  69.5034  1.5 
-27.2727  68.698  1.5 
-23.6364  67.7222  1.5 
-22.449  67.2727  1.5 
-20  66.4008  1.5 
-16.3636  64.221  1.5 
-15.7059  63.6364  1.5 
-12.7273  60.4229  1.5 
-12.3976  60  1.5 
-9.52673  56.3636  1.5 
-9.09091  55.8874  1.5 
-5.56623  52.7273  1.5 
-5.45455  52.6461  1.5 
-1.81818  50.6735  1.5 
 1.81818  49.444  1.5 
 3.41752  49.0909  1.5 
 5.45455  48.6217  1.5 
 9.09091  48.0225  1.5 
 12.7273  47.4896  1.5 
 16.3636  46.8085  1.5 
 20  45.6137  1.5 
 20.2862  45.4545  1.5 
 23.6364  43.1943  1.5 
 24.9486  41.8182  1.5 
 27.2727  38.6303  1.5 
 27.568  38.1818  1.5 
 29.9798  34.5455  1.5 
 30.9091  33.346  1.5 
 33.1629  30.9091  1.5 
 34.5455  29.6689  1.5 
 37.7878  27.2727  1.5 
 38.1818  26.9993  1.5 
 41.8182  24.2814  1.5 
 42.5154  23.6364  1.5 
 45.4545  20.0884  1.5 
 45.5185  20  1.5 
 47.7062  16.3636  1.5 
 49.0909  14.1353  1.5 
 50.0938  12.7273  1.5 
 52.7273  9.6696  1.5 
 53.3524  9.09091  1.5 
 56.3636  6.58273  1.5 
 57.881  5.45455  1.5 
 60  3.78407  1.5 
 61.9584  1.81818  1.5 
 63.6364 -0.827391  1.5 
 64.1873 -1.81818  1.5 
 65.4969 -5.45455  1.5 
 66.6487 -9.09091  1.5 
 67.2727 -11.1791  1.5 
 67.8214 -12.7273  1.5 
 69.0302 -16.3636  1.5 
 70.0182 -20  1.5 
 70.3355 -23.6364  1.5 
 69.8459 -27.2727  1.5 
 68.8231 -30.9091  1.5 
 67.5877 -34.5455  1.5 

 67.5877 -34.5455  1.5 
 67.2727 -35.4369  1.5 
 66.4182 -38.1818  1.5 
 65.3926 -41.8182  1.5 
 64.5183 -45.4545  1.5 
 63.6514 -49.0909  1.5 
 63.6364 -49.1444  1.5 
 62.5834 -52.7273  1.5 
 61.1375 -56.3636  1.5 
 60 -58.3397  1.5 
 58.5941 -60  1.5 
 56.3636 -61.6632  1.5 
 52.7273 -63.6284  1.5 
 52.7086 -63.6364  1.5 
 49.0909 -65.0386  1.5 
 45.4545 -66.279  1.5 
 42.3604 -67.2727  1.5 
 41.8182 -67.4556  1.5 
 38.1818 -68.6821  1.5 
 34.5455 -69.9501  1.5 
 31.5946 -70.9091  1.5 
 30.9091 -71.1702  1.5 
 27.2727 -72.1954  1.5 
 23.6364 -72.5603  1.5 
 20 -71.7748  1.5 
 18.3286 -70.9091  1.5 
 16.3636 -70.1517  1.5 
 12.7273 -68.5047  1.5 
 9.7487 -67.2727  1.5 
 9.09091 -67.0543  1.5 
 5.45455 -65.7807  1.5 
 1.81818 -64.4433  1.5 
 0.312398 -63.6364  1.5 
-1.81818 -62.3496  1.5 
-4.30517 -60  1.5 
-5.45455 -58.6119  1.5 
-7.21131 -56.3636  1.5 
-9.09091 -54.1578  1.5 
-10.439 -52.7273  1.5 
-12.7273 -50.7493  1.5 
-15.0218 -49.0909  1.5 
-16.3636 -48.2375  1.5 
-20 -45.9781  1.5 
-20.7168 -45.4545  1.5 
-23.6364 -43.0364  1.5 
-24.7759 -41.8182  1.5 
-27.2727 -38.5762  1.5 
-27.5602 -38.1818  1.5 
-30.3622 -34.5455  1.5 
-30.9091 -33.9473  1.5 
-34.2013 -30.9091  1.5 
-34.5455 -30.6424  1.5 
-38.1818 -28.166  1.5 
-39.5169 -27.2727  1.5 
-41.8182 -25.6671  1.5 
-44.0878 -23.6364  1.5 
-45.4545 -22.0924  1.5 
-47.0497 -20  1.5 
-49.0909 -17.0187  1.5 
-49.5583 -16.3636  1.5 
